employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
retired,>10000,5000-10000,"['emergency fund', 'education', 'retirement']",221319,5,low,beginner,<5000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.5%
self-employed,>10000,5000-10000,"['retirement', 'emergency fund', 'education']",137086,5,low,beginner,0,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.6%
unemployed,>10000,0,"['Buying house', 'retirement', 'emergency fund']",372314,3,high,intermediate,0,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,11.3%
employed,<5000,0,"['retirement', 'education', 'Buying house']",489739,5,low,advanced,>10000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,18.8%
retired,5000-10000,5000-10000,"['vacation', 'retirement', 'education']",391664,15,high,beginner,<5000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.4%
retired,0,0,"['retirement', 'education', 'vacation']",62189,19,high,intermediate,0,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.0%
unemployed,<5000,0,"['retirement', 'vacation', 'education']",355612,15,low,intermediate,>10000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.7%
employed,<5000,0,"['emergency fund', 'vacation', 'education']",177637,1,low,beginner,0,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.6%
student,0,>10000,"['Buying house', 'vacation', 'education']",478936,2,high,intermediate,>10000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.7%
self-employed,>10000,0,"['retirement', 'vacation', 'Buying house']",399064,14,high,beginner,0,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.5%
employed,0,>10000,"['emergency fund', 'retirement', 'vacation']",343405,19,low,advanced,<5000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.8%
employed,<5000,0,"['vacation', 'Buying house', 'emergency fund']",290046,8,low,intermediate,<5000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,22.4%
unemployed,5000-10000,5000-10000,"['education', 'Buying house', 'emergency fund']",91021,8,low,advanced,0,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,15.4%
unemployed,>10000,0,"['education', 'Buying house', 'vacation']",71188,11,low,intermediate,<5000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.3%
unemployed,5000-10000,5000-10000,"['vacation', 'emergency fund', 'retirement']",444885,20,moderate,advanced,5000-10000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,20.7%
employed,5000-10000,>10000,"['Buying house', 'emergency fund', 'education']",356199,20,moderate,intermediate,>10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,15.8%
unemployed,0,<5000,"['emergency fund', 'retirement', 'vacation']",222061,13,high,intermediate,>10000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,6.5%
retired,>10000,>10000,"['education', 'emergency fund', 'vacation']",212131,6,low,intermediate,>10000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.8%
employed,5000-10000,0,"['emergency fund', 'retirement', 'Buying house']",271612,15,high,intermediate,>10000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.1%
self-employed,5000-10000,5000-10000,"['emergency fund', 'education', 'Buying house']",470326,5,moderate,beginner,<5000,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.5%
self-employed,>10000,0,"['Buying house', 'education', 'vacation']",318513,14,low,intermediate,5000-10000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.2%
student,<5000,>10000,"['education', 'retirement', 'Buying house']",330998,9,low,advanced,0,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,16.3%
self-employed,<5000,5000-10000,"['vacation', 'education', 'emergency fund']",124386,15,low,intermediate,5000-10000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.3%
employed,5000-10000,0,"['emergency fund', 'Buying house', 'vacation']",29619,19,moderate,advanced,>10000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.4%
employed,>10000,5000-10000,"['emergency fund', 'education', 'vacation']",125916,13,moderate,advanced,0,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.5%
employed,>10000,>10000,"['education', 'emergency fund', 'retirement']",23756,14,low,intermediate,<5000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.7%
retired,0,<5000,"['vacation', 'retirement', 'education']",327795,4,moderate,intermediate,<5000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,18.6%
self-employed,5000-10000,<5000,"['retirement', 'Buying house', 'education']",489208,19,low,advanced,0,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.4%
retired,0,0,"['retirement', 'Buying house', 'education']",59065,14,low,beginner,0,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.2%
student,<5000,0,"['retirement', 'vacation', 'emergency fund']",120177,6,high,advanced,>10000,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.6%
employed,0,<5000,"['education', 'Buying house', 'vacation']",348280,9,high,advanced,<5000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.6%
self-employed,<5000,5000-10000,"['emergency fund', 'Buying house', 'education']",141142,7,low,advanced,5000-10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,22.8%
student,>10000,0,"['retirement', 'vacation', 'Buying house']",444730,18,high,advanced,>10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.4%
student,5000-10000,<5000,"['retirement', 'vacation', 'Buying house']",250843,7,low,advanced,>10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.6%
retired,>10000,5000-10000,"['emergency fund', 'Buying house', 'education']",304077,11,moderate,advanced,>10000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,24.4%
self-employed,5000-10000,>10000,"['vacation', 'Buying house', 'emergency fund']",116353,3,low,intermediate,0,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.5%
unemployed,5000-10000,5000-10000,"['retirement', 'emergency fund', 'vacation']",145744,18,low,beginner,<5000,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,10.1%
retired,>10000,5000-10000,"['Buying house', 'retirement', 'education']",443780,10,high,beginner,0,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,17.6%
student,0,5000-10000,"['retirement', 'vacation', 'emergency fund']",245233,13,moderate,beginner,5000-10000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.6%
employed,<5000,0,"['vacation', 'retirement', 'Buying house']",173468,15,moderate,advanced,<5000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.0%
self-employed,0,5000-10000,"['emergency fund', 'Buying house', 'retirement']",254699,15,low,intermediate,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,20.6%
retired,5000-10000,5000-10000,"['Buying house', 'emergency fund', 'education']",305466,15,moderate,beginner,>10000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.2%
unemployed,<5000,5000-10000,"['retirement', 'emergency fund', 'Buying house']",216508,6,moderate,intermediate,0,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.3%
unemployed,>10000,5000-10000,"['education', 'vacation', 'Buying house']",192328,18,moderate,intermediate,<5000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.2%
employed,0,>10000,"['vacation', 'education', 'retirement']",280018,1,moderate,intermediate,<5000,>10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.8%
unemployed,5000-10000,0,"['emergency fund', 'retirement', 'Buying house']",116402,3,moderate,intermediate,5000-10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.3%
retired,<5000,5000-10000,"['emergency fund', 'retirement', 'education']",349553,4,low,advanced,>10000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.4%
self-employed,0,>10000,"['Buying house', 'emergency fund', 'education']",261697,9,low,intermediate,5000-10000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.1%
self-employed,0,>10000,"['vacation', 'education', 'retirement']",348092,1,high,advanced,0,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.7%
retired,>10000,<5000,"['education', 'Buying house', 'vacation']",469294,14,high,intermediate,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.0%
self-employed,0,0,"['vacation', 'Buying house', 'emergency fund']",206921,10,high,beginner,0,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.5%
self-employed,>10000,>10000,"['Buying house', 'education', 'vacation']",394883,14,low,intermediate,5000-10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.6%
self-employed,5000-10000,0,"['retirement', 'emergency fund', 'Buying house']",159685,15,low,intermediate,>10000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.9%
self-employed,5000-10000,<5000,"['education', 'retirement', 'emergency fund']",372649,1,high,beginner,<5000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.8%
self-employed,>10000,5000-10000,"['emergency fund', 'Buying house', 'education']",83798,1,low,intermediate,0,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.7%
employed,0,0,"['vacation', 'Buying house', 'retirement']",364709,11,moderate,intermediate,0,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,23.0%
student,<5000,>10000,"['Buying house', 'vacation', 'emergency fund']",350417,4,high,beginner,>10000,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,20.0%
student,0,5000-10000,"['retirement', 'Buying house', 'education']",493696,7,moderate,intermediate,5000-10000,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.4%
employed,0,>10000,"['education', 'vacation', 'Buying house']",477922,11,moderate,advanced,<5000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.3%
self-employed,0,>10000,"['education', 'retirement', 'Buying house']",465891,5,moderate,advanced,5000-10000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.8%
self-employed,<5000,5000-10000,"['Buying house', 'education', 'emergency fund']",177201,18,low,intermediate,0,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.1%
employed,<5000,0,"['vacation', 'Buying house', 'retirement']",418450,14,low,intermediate,<5000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.0%
employed,0,<5000,"['education', 'emergency fund', 'vacation']",114864,20,moderate,intermediate,5000-10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.0%
unemployed,>10000,0,"['vacation', 'retirement', 'emergency fund']",378191,14,moderate,beginner,5000-10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.8%
retired,5000-10000,>10000,"['emergency fund', 'vacation', 'retirement']",334466,3,moderate,advanced,>10000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.4%
student,0,5000-10000,"['retirement', 'emergency fund', 'vacation']",79599,5,low,intermediate,<5000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.7%
employed,0,<5000,"['vacation', 'Buying house', 'emergency fund']",150385,9,low,intermediate,<5000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.3%
employed,>10000,0,"['education', 'emergency fund', 'vacation']",379798,19,moderate,advanced,<5000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.7%
employed,>10000,<5000,"['education', 'retirement', 'vacation']",274975,13,moderate,advanced,0,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,21.3%
self-employed,5000-10000,>10000,"['Buying house', 'education', 'retirement']",453116,7,high,intermediate,<5000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,5.7%
retired,0,>10000,"['retirement', 'Buying house', 'emergency fund']",308569,20,moderate,advanced,<5000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,20.8%
employed,0,<5000,"['emergency fund', 'vacation', 'education']",175933,4,low,advanced,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.0%
self-employed,0,0,"['education', 'Buying house', 'vacation']",82157,6,moderate,intermediate,>10000,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,12.5%
self-employed,<5000,>10000,"['retirement', 'Buying house', 'vacation']",490885,13,high,beginner,5000-10000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.4%
employed,5000-10000,0,"['education', 'Buying house', 'emergency fund']",234971,2,low,beginner,>10000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.2%
student,0,0,"['emergency fund', 'vacation', 'education']",381246,17,high,advanced,0,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,6.9%
self-employed,<5000,<5000,"['emergency fund', 'retirement', 'education']",362373,15,high,intermediate,<5000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,22.4%
student,0,>10000,"['emergency fund', 'vacation', 'Buying house']",337229,13,low,advanced,<5000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,17.9%
student,>10000,<5000,"['vacation', 'Buying house', 'education']",168311,1,low,intermediate,0,0,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.1%
unemployed,>10000,>10000,"['Buying house', 'emergency fund', 'retirement']",274504,4,low,beginner,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.8%
employed,<5000,5000-10000,"['emergency fund', 'education', 'Buying house']",486544,6,high,beginner,>10000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.7%
unemployed,>10000,<5000,"['education', 'vacation', 'emergency fund']",210822,12,moderate,intermediate,<5000,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.2%
unemployed,5000-10000,<5000,"['emergency fund', 'retirement', 'education']",388500,14,moderate,intermediate,5000-10000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.9%
retired,5000-10000,5000-10000,"['retirement', 'emergency fund', 'education']",460860,5,low,beginner,>10000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.4%
unemployed,0,>10000,"['emergency fund', 'retirement', 'vacation']",309315,7,low,intermediate,5000-10000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.5%
self-employed,0,5000-10000,"['education', 'retirement', 'vacation']",157272,11,moderate,beginner,<5000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.6%
student,<5000,0,"['vacation', 'retirement', 'education']",27749,2,high,beginner,5000-10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.1%
self-employed,>10000,<5000,"['emergency fund', 'vacation', 'Buying house']",184101,17,moderate,beginner,<5000,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.9%
self-employed,<5000,0,"['vacation', 'education', 'retirement']",315599,19,high,intermediate,0,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.2%
self-employed,>10000,<5000,"['emergency fund', 'education', 'retirement']",29347,14,low,advanced,0,>10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,7.7%
self-employed,>10000,5000-10000,"['education', 'Buying house', 'retirement']",160243,13,moderate,advanced,>10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,17.5%
self-employed,<5000,>10000,"['Buying house', 'emergency fund', 'retirement']",127110,9,high,intermediate,0,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.6%
unemployed,0,5000-10000,"['Buying house', 'vacation', 'education']",244106,2,low,advanced,>10000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.6%
employed,5000-10000,>10000,"['vacation', 'retirement', 'Buying house']",470423,3,moderate,advanced,>10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,23.8%
self-employed,5000-10000,<5000,"['emergency fund', 'Buying house', 'retirement']",398606,9,high,beginner,5000-10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.5%
retired,>10000,>10000,"['emergency fund', 'retirement', 'Buying house']",435986,8,high,intermediate,0,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.7%
self-employed,<5000,>10000,"['vacation', 'retirement', 'emergency fund']",326279,13,moderate,advanced,5000-10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.1%
student,5000-10000,0,"['retirement', 'vacation', 'Buying house']",252276,9,high,advanced,>10000,>10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.7%
employed,<5000,5000-10000,"['vacation', 'education', 'Buying house']",339380,13,low,beginner,0,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.7%
unemployed,>10000,0,"['retirement', 'Buying house', 'emergency fund']",63464,12,moderate,beginner,0,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.3%
student,>10000,5000-10000,"['retirement', 'emergency fund', 'Buying house']",436434,7,low,beginner,<5000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,6.9%
self-employed,<5000,>10000,"['Buying house', 'retirement', 'education']",53821,15,high,intermediate,<5000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.7%
student,0,<5000,"['retirement', 'vacation', 'emergency fund']",299712,4,high,beginner,>10000,0,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.1%
self-employed,0,5000-10000,"['vacation', 'retirement', 'education']",69814,18,high,beginner,>10000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.3%
employed,5000-10000,>10000,"['education', 'emergency fund', 'Buying house']",420516,9,high,intermediate,0,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,22.7%
employed,0,0,"['Buying house', 'education', 'retirement']",404553,16,high,beginner,>10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.6%
student,5000-10000,0,"['education', 'retirement', 'emergency fund']",240089,16,moderate,advanced,>10000,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,13.1%
student,>10000,5000-10000,"['Buying house', 'vacation', 'education']",182652,13,high,advanced,0,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,13.5%
retired,<5000,>10000,"['vacation', 'retirement', 'Buying house']",24577,20,high,beginner,<5000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,5.8%
retired,0,5000-10000,"['emergency fund', 'education', 'retirement']",489412,14,moderate,intermediate,5000-10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.3%
self-employed,>10000,5000-10000,"['retirement', 'emergency fund', 'vacation']",117410,8,moderate,advanced,>10000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.5%
self-employed,5000-10000,>10000,"['vacation', 'retirement', 'education']",472455,18,moderate,intermediate,<5000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.0%
student,<5000,5000-10000,"['retirement', 'emergency fund', 'vacation']",479259,4,low,beginner,5000-10000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.2%
employed,>10000,<5000,"['vacation', 'emergency fund', 'education']",134214,20,moderate,intermediate,>10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.0%
student,>10000,<5000,"['vacation', 'emergency fund', 'retirement']",50914,1,low,intermediate,>10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.2%
student,<5000,5000-10000,"['retirement', 'emergency fund', 'Buying house']",439975,8,moderate,beginner,5000-10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.9%
employed,0,5000-10000,"['Buying house', 'retirement', 'emergency fund']",28458,6,moderate,advanced,5000-10000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.7%
student,>10000,5000-10000,"['education', 'Buying house', 'vacation']",242791,13,moderate,advanced,0,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,7.2%
unemployed,0,0,"['Buying house', 'vacation', 'education']",111569,5,moderate,beginner,<5000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.9%
student,0,5000-10000,"['education', 'Buying house', 'emergency fund']",365952,20,low,advanced,5000-10000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.3%
employed,>10000,0,"['vacation', 'education', 'retirement']",393793,15,low,advanced,<5000,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.9%
employed,<5000,5000-10000,"['vacation', 'retirement', 'emergency fund']",75919,11,moderate,advanced,5000-10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,19.3%
employed,<5000,0,"['vacation', 'emergency fund', 'Buying house']",270890,3,moderate,beginner,>10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.9%
self-employed,0,5000-10000,"['emergency fund', 'education', 'retirement']",452280,12,low,intermediate,>10000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.4%
self-employed,<5000,<5000,"['emergency fund', 'education', 'retirement']",110463,17,high,intermediate,5000-10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.6%
retired,<5000,>10000,"['emergency fund', 'education', 'retirement']",356040,15,moderate,intermediate,0,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,11.0%
retired,0,5000-10000,"['emergency fund', 'vacation', 'education']",68764,2,high,beginner,0,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.9%
employed,0,5000-10000,"['emergency fund', 'education', 'retirement']",299944,8,low,advanced,5000-10000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,14.6%
employed,>10000,5000-10000,"['emergency fund', 'education', 'vacation']",448709,13,low,advanced,<5000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.5%
retired,<5000,0,"['emergency fund', 'vacation', 'Buying house']",152571,15,moderate,beginner,>10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,24.4%
employed,>10000,0,"['Buying house', 'emergency fund', 'vacation']",127647,19,moderate,advanced,>10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.3%
